"year","month_name","month","country","max_emails_opened","running_total_opened_emails","no_of_customers_who_sent_atleast_one_email"
"2020","August","8","Afghanistan","1","1","1"
"2020","December","12","Afghanistan","130","131","2"
"2021","March","3","Afghanistan","1","132","1"
"2021","May","5","Afghanistan","38","170","1"
"2021","October","10","Afghanistan","55","225","1"
"2021","November","11","Afghanistan","2","227","1"
"2021","December","12","Afghanistan","85","312","1"
"2020","July","7","Albania","85","85","1"
"2020","November","11","Albania","12","97","4"
"2020","December","12","Albania","302","399","3"
"2021","January","1","Albania","41","440","1"
"2021","March","3","Albania","22","462","2"
"2021","April","4","Albania","40","502","3"
"2021","May","5","Albania","60","562","1"
"2021","August","8","Albania","6","568","1"
"2021","September","9","Albania","10","578","1"
"2021","October","10","Albania","10","588","1"
"2021","November","11","Albania","129","717","1"
"2021","December","12","Albania","2","719","1"
"2020","July","7","Algeria","14","14","1"
"2020","August","8","Algeria","9","23","1"
"2020","November","11","Algeria","93","116","3"
"2020","December","12","Algeria","500","616","3"
"2021","March","3","Algeria","70","686","2"
"2021","April","4","Algeria","180","866","2"
"2021","May","5","Algeria","39","905","2"
"2021","August","8","Algeria","60","965","1"
"2021","September","9","Algeria","500","1465","3"
"2021","October","10","Algeria","14","1479","1"
"2021","December","12","Algeria","32","1511","1"
"2020","July","7","American Samoa","105","105","3"
"2020","August","8","American Samoa","500","605","2"
"2020","September","9","American Samoa","73","678","1"
"2020","November","11","American Samoa","477","1155","3"
"2020","December","12","American Samoa","10","1165","1"
"2021","March","3","American Samoa","16","1181","2"
"2021","April","4","American Samoa","23","1204","2"
"2021","May","5","American Samoa","254","1458","4"
"2021","August","8","American Samoa","324","1782","1"
"2021","September","9","American Samoa","84","1866","1"
"2021","October","10","American Samoa","4","1870","1"
"2021","December","12","American Samoa","23","1893","1"
"2020","November","11","Andorra","250","250","1"
"2021","March","3","Andorra","8","258","1"
"2021","April","4","Andorra","13","271","1"
"2021","November","11","Andorra","106","377","1"
"2020","July","7","Angola","27","27","2"
"2020","August","8","Angola","65","92","2"
"2020","November","11","Angola","178","270","3"
"2020","December","12","Angola","65","335","1"
"2021","January","1","Angola","59","394","1"
"2021","February","2","Angola","28","422","1"
"2021","April","4","Angola","187","609","4"
"2021","May","5","Angola","29","638","1"
"2021","August","8","Angola","1","639","1"
"2021","September","9","Angola","1","640","1"
"2021","November","11","Angola","22","662","1"
"2021","December","12","Angola","173","835","2"
"2020","December","12","Anguilla","105","105","1"
"2021","March","3","Anguilla","8","113","1"
"2021","April","4","Anguilla","148","261","1"
"2021","October","10","Anguilla","23","284","1"
"2020","November","11","Antarctica (the territory South of 60 deg S)","42","42","1"
"2021","March","3","Antarctica (the territory South of 60 deg S)","236","278","1"
"2021","May","5","Antarctica (the territory South of 60 deg S)","63","341","1"
"2021","September","9","Antarctica (the territory South of 60 deg S)","6","347","1"
"2021","October","10","Antarctica (the territory South of 60 deg S)","29","376","1"
"2020","July","7","Antigua and Barbuda","30","30","1"
"2020","August","8","Antigua and Barbuda","62","92","1"
"2020","November","11","Antigua and Barbuda","50","142","1"
"2021","February","2","Antigua and Barbuda","3","145","1"
"2021","March","3","Antigua and Barbuda","52","197","1"
"2021","April","4","Antigua and Barbuda","30","227","1"
"2021","August","8","Antigua and Barbuda","16","243","1"
"2021","December","12","Antigua and Barbuda","72","315","2"
"2020","July","7","Argentina","87","87","1"
"2020","August","8","Argentina","4","91","1"
"2020","November","11","Argentina","70","161","1"
"2020","December","12","Argentina","14","175","1"
"2021","April","4","Argentina","51","226","1"
"2021","October","10","Argentina","10","236","1"
"2020","July","7","Armenia","213","213","1"
"2020","November","11","Armenia","24","237","3"
"2020","December","12","Armenia","10","247","1"
"2021","March","3","Armenia","93","340","1"
"2021","April","4","Armenia","124","464","1"
"2021","May","5","Armenia","167","631","2"
"2021","August","8","Armenia","1","632","1"
"2021","September","9","Armenia","31","663","1"
"2021","October","10","Armenia","1","664","1"
"2021","November","11","Armenia","9","673","2"
"2021","December","12","Armenia","179","852","1"
"2020","July","7","Aruba","56","56","2"
"2020","September","9","Aruba","14","70","2"
"2020","November","11","Aruba","297","367","2"
"2020","December","12","Aruba","29","396","2"
"2021","March","3","Aruba","500","896","2"
"2021","April","4","Aruba","129","1025","2"
"2021","May","5","Aruba","456","1481","3"
"2021","July","7","Aruba","204","1685","1"
"2021","September","9","Aruba","24","1709","1"
"2021","October","10","Aruba","93","1802","1"
"2020","July","7","Australia","106","106","2"
"2020","August","8","Australia","71","177","3"
"2020","September","9","Australia","347","524","1"
